account_id,pan,holder_name,dob,account_age_days,account_type,kyc_status,home_state,home_city,typical_device_id,avg_monthly_txn_count,avg_monthly_txn_value_inr,avg_tx_amount_inr,balance_inr,previous_flags,previous_strs,linked_accounts_count,occupation_category,is_pep,negative_news_flag,account_dormancy_days,onboarding_channel,is_registered_merchant,travel_profile,home_country
ACC15513,QKHUN7219K,Neha Singh,1998-09-21,545,Savings,Full KYC,RJ,Jodhpur,DEV-ACC15513,15,34258,24438,467637,0,0,3,Business,No,No,0,Branch,False,DOMESTIC_STATIC,IN
ACC08645,ALLHS1032S,Aditya Joshi,1997-08-28,519,Savings,Full KYC,HR,Faridabad,DEV-ACC08645,7,59227,3315,262929,0,0,3,Retired,No,No,3,Branch,False,DOMESTIC_STATIC,IN
ACC67858,SKTDI0594V,Sachin Nair,1979-06-14,3420,Savings,Full KYC,GJ,Ahmedabad,DEV-ACC67858,26,61062,16745,570042,0,0,1,Salaried,No,No,3,Digital,False,DOMESTIC_STATIC,IN
ACC97977,SCTIN2049C,Kavya Reddy,1999-04-19,2879,Savings,Full KYC,KL,Kochi,DEV-ACC97977,12,76343,15625,581510,0,0,0,Retired,No,No,1,Digital,False,DOMESTIC_STATIC,IN
ACC49400,TKKBZ0544R,Suresh Nair,1990-05-21,2193,Savings,Full KYC,RJ,Jodhpur,DEV-ACC49400,7,22055,21020,368434,0,0,3,Salaried,No,No,5,Branch,False,DOMESTIC_STATIC,IN
ACC63956,UDCKO1375X,Isha Nair,1963-05-24,3440,Savings,Full KYC,TN,Coimbatore,DEV-ACC63956,8,21731,10824,528628,0,0,3,Retired,No,No,1,Digital,False,DOMESTIC_STATIC,IN
ACC29167,XERPI7278N,Neha Khan,1995-02-11,2222,Savings,Full KYC,TN,Coimbatore,DEV-ACC29167,15,32086,14685,177281,0,0,0,Student,No,No,4,Digital,False,DOMESTIC_STATIC,IN
ACC26745,MXJDM0564G,Neha Patel,1988-01-04,3171,Savings,Full KYC,KA,Bengaluru,DEV-ACC26745,39,70141,6408,123314,0,0,1,Self-Employed,No,No,0,Digital,False,DOMESTIC_STATIC,IN
ACC35596,RAHLK6870F,Ramesh Patel,1993-03-13,3139,Savings,Full KYC,MH,Pune,DEV-ACC35596,27,38985,22241,438019,0,0,1,Retired,No,No,4,Branch,False,DOMESTIC_STATIC,IN
ACC50782,RDMZV1648N,Anjali Sharma,1975-04-12,686,Savings,Full KYC,TN,Coimbatore,DEV-ACC50782,40,84352,10251,593126,0,0,0,Salaried,No,No,0,Digital,False,DOMESTIC_STATIC,IN
ACC42928,DWLHP7902C,Vivaan Pillai,1959-08-01,508,Savings,Full KYC,KL,Thiruvananthapuram,DEV-ACC42928,17,30372,16361,383411,0,0,0,Business,No,No,3,Digital,False,DOMESTIC_STATIC,IN
ACC70498,DXULW1099J,Rohan Menon,1959-05-19,1778,Savings,Full KYC,DL,New Delhi,DEV-ACC70498,30,10427,23992,253505,0,0,2,Student,No,No,1,Branch,False,DOMESTIC_STATIC,IN
ACC54940,LWTGO5824Q,Aditya Das,1992-10-13,2403,Savings,Full KYC,RJ,Jodhpur,DEV-ACC54940,35,55189,15358,225999,0,0,0,Student,No,No,5,Branch,False,DOMESTIC_STATIC,IN
ACC44499,EHQDF9796O,Isha Reddy,1978-11-09,1925,Savings,Full KYC,KL,Thiruvananthapuram,DEV-ACC44499,8,80312,10128,441150,0,0,2,Self-Employed,No,No,4,Digital,False,DOMESTIC_STATIC,IN
ACC75971,ZJNJL3256I,Kavya Sharma,1982-04-01,1004,Savings,Full KYC,DL,New Delhi,DEV-ACC75971,15,54306,7408,533981,0,0,0,Student,No,No,4,Digital,False,DOMESTIC_STATIC,IN
ACC83475,NGSPF3928L,Rohan Gupta,1989-07-14,1415,Savings,Full KYC,MH,Nagpur,DEV-ACC83475,15,83606,21823,224543,0,0,0,Retired,No,No,5,Branch,False,DOMESTIC_STATIC,IN
ACC35540,QLMPZ5221U,Neha Iyer,1985-10-19,2712,Savings,Full KYC,RJ,Jaipur,DEV-ACC35540,15,33691,23329,455472,0,0,3,Student,No,No,3,Branch,False,DOMESTIC_STATIC,IN
ACC21925,AOFGB7321N,Aishwarya Gupta,1955-05-02,823,Savings,Full KYC,TG,Hyderabad,DEV-ACC21925,15,68777,14434,473708,0,0,0,Business,No,No,2,Branch,False,DOMESTIC_STATIC,IN
