tx_id,timestamp,channel,amount_inr,sender_account_id,sender_name,sender_pan,sender_dob,sender_bank,sender_ifsc,sender_vpa,receiver_account_id,receiver_name,receiver_pan,receiver_dob,receiver_bank,receiver_vpa,receiver_state,receiver_city,tx_location_city,tx_location_state,tx_location_country,tx_location_lat,tx_location_lon,device_id,purpose_code,is_cross_border,fx_usd_inr,usd_equiv,beneficiary_id,tx_status
TX20260602001527,2026-06-02T11:34:00,RTGS,3582,ACC29699,Suresh Bose,VVLKR4510I,1975-06-14,ICIC,AXIS0861,acc29699@okaxis,EXT74234,Ramesh Sharma,,,HDFC,ramesh@okkkbk,DL,New Delhi,New Delhi,DL,IN,28.6139,77.209,DEV-ACC29699,P0099,0,,,,SUCCESS
TX20260603000835,2026-06-03T20:12:00,UPI,36065,ACC83892,Aarav Reddy,ZBFYB3335D,1971-04-18,SBIN,KKBK0127,acc83892@okpunb,EXT81680,Mohan Rao,,,UTIB,mohan@okpunb,RJ,Jodhpur,Jodhpur,RJ,IN,26.2389,73.0243,DEV-ACC83892,P0014,0,,,,SUCCESS
TX20260601001006,2026-06-01T17:13:00,RTGS,7213,ACC26695,Mohan Bose,EMUPD2879I,1996-05-07,PUNB,SBIN0326,acc26695@okhdfc,EXT78292,Neha Sharma,,,YESB,neha@okaxis,HR,Faridabad,Faridabad,HR,IN,28.4089,77.3178,DEV-ACC26695,P0008,0,,,,SUCCESS
TX20260603000885,2026-06-03T09:00:00,NEFT,36748,ACC21211,Anjali Singh,JOEDG9097T,1968-02-12,HDFC,KKBK0978,acc21211@okhdfc,EXT79733,Rohan Reddy,,,AXIS,rohan@okicic,HR,Gurugram,Gurugram,HR,IN,28.4595,77.0266,DEV-ACC21211,P0013,0,,,,SUCCESS
TX20260601001299,2026-06-01T15:32:00,UPI,26198,ACC20992,Aarav Reddy,DCVPR0071W,1989-11-22,KKBK,YESB0698,acc20992@okyesb,EXT99301,Ramesh Iyer,,,KKBK,ramesh@okaxis,TG,Hyderabad,Hyderabad,TG,IN,17.385,78.4867,DEV-ACC20992,P0099,0,,,,SUCCESS
TX20260602000805,2026-06-02T11:50:00,NEFT,28463,ACC85380,Vivaan Iyer,VPLED8191B,1982-08-21,HDFC,INDB0138,acc85380@okkkbk,EXT12936,Aditya Patel,,,INDB,aditya@okyesb,KL,Thiruvananthapuram,Thiruvananthapuram,KL,IN,8.5241,76.9366,DEV-ACC85380,P0013,0,,,,SUCCESS
TX20260601001406,2026-06-01T15:25:00,NEFT,14825,ACC42700,Kavya Joshi,SDJSM4702P,1979-06-08,INDB,YESB0981,acc42700@oksbin,EXT60801,Vivaan Patel,,,INDB,vivaan@okicic,RJ,Jodhpur,Jodhpur,RJ,IN,26.2389,73.0243,DEV-ACC42700,P0014,0,,,,SUCCESS
TX20260602001745,2026-06-02T17:10:00,RTGS,29698,ACC26072,Vivaan Patel,BTDCA0957I,1983-08-27,UTIB,UTIB0811,acc26072@okpunb,EXT98447,Aditya Singh,,,AXIS,aditya@okpunb,GJ,Ahmedabad,Ahmedabad,GJ,IN,23.0225,72.5714,DEV-ACC26072,P0014,0,,,,SUCCESS
TX20260603001923,2026-06-03T13:45:00,NEFT,19971,ACC62630,Aishwarya Reddy,DJLBV4546F,1963-11-22,INDB,INDB0111,acc62630@okyesb,EXT99254,Vivaan Das,,,PUNB,vivaan@oksbin,KL,Kochi,Kochi,KL,IN,9.9312,76.2673,DEV-ACC62630,P0013,0,,,,SUCCESS
TX20260603001359,2026-06-03T15:35:00,UPI,20544,ACC82747,Priya Iyer,YYFAC2395U,1957-10-17,INDB,SBIN0925,acc82747@oksbin,EXT34417,Vivaan Das,,,PUNB,vivaan@okindb,DL,New Delhi,New Delhi,DL,IN,28.6139,77.209,DEV-ACC82747,P0006,0,,,,SUCCESS
TX20260604001014,2026-06-04T02:24:00,NEFT,31749,ACC21575,Mohan Das,TGYIR0081I,1966-11-28,YESB,INDB0449,acc21575@okhdfc,EXT49887,Aishwarya Rao,,,YESB,aishwarya@okutib,GJ,Ahmedabad,Ahmedabad,GJ,IN,23.0225,72.5714,DEV-ACC21575,P0006,0,,,,SUCCESS
TX20260603000919,2026-06-03T22:54:00,RTGS,6953,ACC57913,Suresh Bose,DVXQI8704S,1991-02-26,YESB,AXIS0689,acc57913@okyesb,EXT68971,Sachin Das,,,HDFC,sachin@okyesb,HR,Gurugram,Gurugram,HR,IN,28.4595,77.0266,DEV-ACC57913,P0008,0,,,,SUCCESS
TX20260604001839,2026-06-04T03:05:00,UPI,32948,ACC92939,Karan Verma,NXFZK2297K,1957-09-02,PUNB,HDFC0755,acc92939@okaxis,EXT90432,Aishwarya Singh,,,UTIB,aishwarya@okindb,RJ,Jaipur,Jaipur,RJ,IN,26.9124,75.7873,DEV-ACC92939,P0013,0,,,,SUCCESS
TX20260601000971,2026-06-01T23:31:00,NEFT,34243,ACC21499,Kavya Menon,RSEFW2323J,1960-02-06,UTIB,AXIS0746,acc21499@okindb,EXT56019,Kavya Joshi,,,HDFC,kavya@oksbin,KL,Thiruvananthapuram,Thiruvananthapuram,KL,IN,8.5241,76.9366,DEV-ACC21499,P0013,0,,,,SUCCESS
TX20260603001973,2026-06-03T04:05:00,NEFT,24696,ACC70220,Kavya Reddy,TCXHO9533R,1988-08-16,YESB,INDB0864,acc70220@okhdfc,EXT57709,Aishwarya Reddy,,,UTIB,aishwarya@oksbin,HR,Faridabad,Faridabad,HR,IN,28.4089,77.3178,DEV-ACC70220,P0099,0,,,,SUCCESS
TX20260603001329,2026-06-03T10:32:00,NEFT,21304,ACC68794,Isha Iyer,NRTBV3947W,1998-08-11,HDFC,KKBK0262,acc68794@oksbin,EXT13987,Kavya Das,,,SBIN,kavya@okyesb,HR,Faridabad,Faridabad,HR,IN,28.4089,77.3178,DEV-ACC68794,P0006,0,,,,SUCCESS
TX20260601001381,2026-06-01T18:05:00,UPI,13938,ACC33962,Anjali Patel,JXDSI1028O,1970-06-12,YESB,ICIC0839,acc33962@okaxis,EXT22753,Aarav Patel,,,ICIC,aarav@okindb,RJ,Jaipur,Jaipur,RJ,IN,26.9124,75.7873,DEV-ACC33962,P0014,0,,,,SUCCESS
TX20260603001729,2026-06-03T00:13:00,UPI,21047,ACC58508,Anjali Rao,RCWIM4513Z,1984-01-02,ICIC,AXIS0891,acc58508@okicic,EXT13286,Ramesh Verma,,,YESB,ramesh@okhdfc,RJ,Jaipur,Jaipur,RJ,IN,26.9124,75.7873,DEV-ACC58508,P0013,0,,,,SUCCESS
TX20260604001573,2026-06-04T05:42:00,UPI,20551,ACC05588,Isha Nair,WBVJC9336K,1996-11-19,UTIB,YESB0421,acc05588@okpunb,EXT50574,Aarav Khan,,,ICIC,aarav@okindb,KL,Thiruvananthapuram,Thiruvananthapuram,KL,IN,8.5241,76.9366,DEV-ACC05588,P0008,0,,,,SUCCESS
TX20260603000066,2026-06-03T01:00:00,NEFT,204135,ACC54940,Aditya Das,LWTGO5824Q,1992-10-13,HDFC,HDFC0625,acc54940@oksbin,EXT45448,Rohan Iyer,,,ICIC,rohan@okkkbk,RJ,Jodhpur,Jodhpur,RJ,IN,26.2389,73.0243,DEV-ACC54940,P0099,0,,,,SUCCESS
TX20260603000053,2026-06-03T01:00:00,NEFT,235679,ACC42928,Vivaan Pillai,DWLHP7902C,1959-08-01,HDFC,HDFC0891,acc42928@oksbin,EXT54869,Sachin Pillai,,,ICIC,sachin@okindb,KL,Thiruvananthapuram,Thiruvananthapuram,KL,IN,8.5241,76.9366,DEV-ACC42928,P0099,0,,,,SUCCESS
TX20260602001763,2026-06-02T01:15:00,RTGS,26734,ACC32565,Aishwarya Nair,LPFND6098H,1998-01-20,UTIB,KKBK0646,acc32565@okindb,EXT38207,Mohan Singh,,,SBIN,mohan@okindb,RJ,Jaipur,Jaipur,RJ,IN,26.9124,75.7873,DEV-ACC32565,P0008,0,,,,SUCCESS
TX20260603000179,2026-06-03T02:05:00,UPI,7047,ACC69720,Anjali Bose,PPSDV6509Y,1966-02-23,AXIS,AXIS0268,acc69720@okindb,EXT81192,Aishwarya Singh,,,PUNB,aishwarya@okutib,GJ,Ahmedabad,Ahmedabad,GJ,IN,23.0225,72.5714,DEV-ACC69720,P0099,0,,,,SUCCESS
TX20260603000844,2026-06-03T10:09:00,UPI,34099,ACC81408,Vivaan Khan,IMZWH7702P,1970-04-20,SBIN,SBIN0251,acc81408@okkkbk,EXT24439,Ramesh Sharma,,,INDB,ramesh@oksbin,TN,Coimbatore,Coimbatore,TN,IN,11.0168,76.9558,DEV-ACC81408,P0099,0,,,,SUCCESS
TX20260603000197,2026-06-03T03:16:00,UPI,8547,ACC69720,Anjali Bose,PPSDV6509Y,1966-02-23,AXIS,AXIS0139,acc69720@okkkbk,EXT58298,Aarav Singh,,,YESB,aarav@okutib,GJ,Ahmedabad,Ahmedabad,GJ,IN,23.0225,72.5714,DEV-ACC69720,P0099,0,,,,SUCCESS
TX20260601001377,2026-06-01T20:16:00,UPI,24701,ACC35152,Isha Reddy,ACXWT7446S,1975-04-25,HDFC,HDFC0367,acc35152@okyesb,EXT66617,Isha Verma,,,PUNB,isha@okpunb,KA,Mangaluru,Mangaluru,KA,IN,12.9141,74.856,DEV-ACC35152,P0014,0,,,,SUCCESS
TX20260502000558,2026-05-02T09:00:00,SWIFT,2466593.62,ACCX604I,Karan Sharma,XJECC0604I,1959-07-12,BANK_A,HDFC0958,,BENE_195,Overseas Beneficiary,,,FOREIGN,,,,Mumbai,MH,IN,19.076,72.8777,DEV-ACCX604I,S0001_business,1,84.2876,29264.0,BENE_195,SUCCESS
TX20260601001174,2026-06-01T09:20:00,UPI,37422,ACC43146,Neha Khan,ZXHZS6369B,1993-01-18,PUNB,KKBK0694,acc43146@okicic,EXT64048,Rohan Reddy,,,AXIS,rohan@oksbin,MH,Nagpur,Nagpur,MH,IN,21.1458,79.0882,DEV-ACC43146,P0099,0,,,,SUCCESS
TX20260604001633,2026-06-04T02:45:00,UPI,15583,ACC60444,Mohan Patel,ULFVE3219Q,1968-04-21,HDFC,SBIN0311,acc60444@okpunb,EXT11691,Aishwarya Reddy,,,AXIS,aishwarya@okutib,TG,Hyderabad,Hyderabad,TG,IN,17.385,78.4867,DEV-ACC60444,P0099,0,,,,SUCCESS
TX20260603001076,2026-06-03T17:20:00,UPI,32288,ACC50545,Ramesh Joshi,IYJHS3195Q,1969-02-23,KKBK,KKBK0907,acc50545@okicic,EXT51554,Neha Pillai,,,PUNB,neha@okkkbk,TG,Hyderabad,Hyderabad,TG,IN,17.385,78.4867,DEV-ACC50545,P0099,0,,,,SUCCESS
TX20260603000987,2026-06-03T08:18:00,RTGS,32399,ACC60880,Priya Reddy,SAKFL8868I,1971-10-19,AXIS,HDFC0300,acc60880@okaxis,EXT13916,Vivaan Patel,,,YESB,vivaan@oksbin,KL,Thiruvananthapuram,Thiruvananthapuram,KL,IN,8.5241,76.9366,DEV-ACC60880,P0006,0,,,,SUCCESS
