watchlist_id,primary_name,aliases,entity_type,dob_or_incorp,nationality_or_country,pan,passport,cin_or_din,national_id_last4,last_known_address,phone,listing_source,reference_number,reason_narrative,listed_date,risk_tier
WL0001,Rakesh Shah,Shah Rakesh|Raeksh Shah,INDIVIDUAL,1964-03-09,Indian,UENTE7360J,E4596087,33865564,XXXXXXXX3458,"Last known: Hong Kong, Hong Kong (originally Ahmedabad)",,ED_FUGITIVE_SYNTHETIC,FEOA-015/2021,Declared Fugitive Economic Offender under FEOA 2018 in connection with alleged bank fraud / loan default exceeding ₹100 crore.,2025-01-04,CRITICAL
WL0002,Menon Commerce Industries,,ENTITY,2015-10-26,Indian,HWBCE5201G,,U06122RJ2008NPL432033,,"Plot 164, New Delhi DL 110001",,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-4503,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹772 crore across consortium of lenders.,2019-12-26,MEDIUM
WL0003,Omar Al-Zarqawi,Al-Zarqawi Omar|O. Al-Zarqawi,INDIVIDUAL,1978-04-09,Saudi,VYVCB0054D,Y8965130,,XXXXXXXX8009,"90, Plot 36, Dubai, AE",,UN_UNSC_SYNTHETIC,QDi.304,Listed under UNSC_2253 for alleged involvement in terror financing or designated terror group association.,2023-05-13,CRITICAL
WL0004,Indo Resources Ltd,Indo Resources Limited|Indo Resources LLP,ENTITY,2017-01-03,Indian,,,L02143TN2017PLC325680,,"Plot 159, Kolkata, WB - 700001",,BANK_INTERNAL_STR_SYNTHETIC,INT-STR-44606,Internal flag: entity associated with one or more historical STRs filed by the bank.,2022-03-20,HIGH
WL0005,Pan-Asian Imports LLC,,ENTITY,2010-01-17,Indian,MPFPO3093D,,L58932UP2024PLC924571,,"Unit 15, Jaipur RJ 302001",,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-8077,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹305 crore across consortium of lenders.,2019-02-14,MEDIUM
WL0006,Omar Al-Zarqawi,Al-Zarqawi Omar,INDIVIDUAL,1958-11-27,Saudi,LDWLD6449R,P6375484,,XXXXXXXX0654,"4, Plot 15, Mauritius, MU",,UN_UNSC_SYNTHETIC,QDi.263,Listed under UNSC_1988 for alleged involvement in terror financing or designated terror group association.,2021-12-16,CRITICAL
WL0007,Yusuf Al-Rashid,Al-Rashid Yusuf,INDIVIDUAL,1997-05-22,Afghan,MRATQ2881V,,,,"52, Block 13, Mauritius, MU",,UN_UNSC_SYNTHETIC,QDi.036,Listed under UNSC_2253 for alleged involvement in terror financing or designated terror group association.,2003-07-12,CRITICAL
WL0008,Rabia Mehta,Mehta Rabia|R. Mehta|Rabai Mehta,INDIVIDUAL,1969-06-23,Indian,TBFLE7911G,U8627954,73923621,XXXXXXXX4296,"Last known: London, UK (originally Pune)",,ED_FUGITIVE_SYNTHETIC,FEOA-011/2025,Declared Fugitive Economic Offender under FEOA 2018 in connection with alleged bank fraud / loan default exceeding ₹100 crore.,2021-06-25,CRITICAL
WL0009,Pooja Khan,Khan Pooja,INDIVIDUAL,1958-11-03,Indian,TUTTF1928K,,,,"Office 7, Chennai, TN",+91-7733090976,RBI_CAUTION_LIST_SYNTHETIC,RBI-CL-1886,Listed on RBI Caution List for previous involvement in cheque fraud / forged documents / unauthorised remittances.,2020-07-31,MEDIUM
WL0010,Pan-Asian Resources LLC,,ENTITY,1999-05-17,Indian,AZVAW7616E,,L32352TS2014PLC260959,,"Office 258, Bengaluru KA 560001",,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-6908,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹829 crore across consortium of lenders.,2025-04-02,HIGH
